id;ten_hui;ngay_tao;loai_hui;day_hui;tham_keu;so_phan
33901;D72 Hụi tuần 5triệu/12phần thứ2 3️⃣;2025-03-03;TUAN;5000000;;12
38101;D129 hụi ngày 500k/40phần ;2025-05-04;NGAY;500000;;40
38103;D131 hụi ngày 500k/40phần;2025-05-04;NGAY;500000;;40
34051;D73 Hụi 10ngày 3triệu/14phần 5-15-25 tây;2025-03-05;MUOI_NGAY;3000000;;14
34201;D74 Hụi tháng 2triệu/12phần 6tây;2025-03-06;THANG;2000000;;12
38107;D135 hụi tuần 1triệu/15phần chủ nhật;2025-05-04;TUAN;1000000;;15
38351;D85 hụi tuần 1triệu/16phần thứ3;2025-03-18;TUAN;1000000;;16
38451;D136 hụi tuần 3triệu/12phần thứ4;2025-05-07;TUAN;3000000;;12
38701;Hụi tháng 5triệu/12phần 9tây 2️⃣;2024-09-09;THANG;5000000;;12
38801;D126 hụi 10ngày 5triệu/14phần 1-10-20;2025-05-01;MUOI_NGAY;5000000;;14
38802;D125 hụi 10ngày 5triệu/14phần 1-10-20;2025-05-01;MUOI_NGAY;5000000;;14
38951;D138 hụi tuần 1triệu/18phần chủ nhật;2025-05-11;TUAN;1000000;;18
38952;D139 hụi tuần 1triệu/18phần chủ nhật;2025-05-11;TUAN;1000000;;18
39051;D140 hụi tháng 20triệu/12phần 14tây;2025-05-14;THANG;20000000;;12
30401;D32 Hụi tháng 10triệu cố định 1️⃣;2025-01-14;THANG;10000000;;12
30551;D34 Hụi 2tuần 2triệu/12phần 15-30;2025-01-15;NUA_THANG;2000000;;12
39303;D143 hụi tuần 5triệu/12phần thứ7;2025-05-17;TUAN;5000000;;12
39304;D144 hụi tuần 5triệu/12phần thứ7;2025-05-17;TUAN;5000000;;12
24701;Hụi tháng 5triệu/15phần 7tây;2024-10-07;THANG;5000000;;15
24702;Hụi tháng 2triệu/12phần 8tây;2024-10-08;THANG;2000000;;12
39308;D148 hụi ngày 1triệu/35phần;2025-05-17;NGAY;1000000;;35
31101;D41 Hụi tuần 1triệu/16phần chủ nhật 6️⃣;2025-01-26;TUAN;1000000;;16
39651;D149 hụi tuần 1triệu/16phần chủ nhật;2025-05-18;TUAN;1000000;;16
39801;D153 hụi tuần 5triệu/12phần thứ2;2025-05-19;TUAN;5000000;;12
34951;D83 Hụi tuần 1triệu/16phần thứ3;2025-03-18;TUAN;1000000;;16
31751;D48 hụi tháng 2triệu/12phần 1tây;2025-02-01;THANG;2000000;;12
25251;Hụi tháng 20triệu/12phần 12tây;2024-10-12;THANG;20000000;;12
35751;D94 Hụi tuần 5triệu/12phần thứ6;2025-03-28;TUAN;5000000;;12
35752;D95 Hụi tuần 5triệu/12phần thứ6;2025-03-28;TUAN;5000000;;12
32103;D53 Hụi tháng 20tr/12phần 6tây (cố định);2025-02-06;THANG;20000000;;12
36101;D99 Hụi tháng 10triệu/12phần 1tây;2025-04-01;THANG;10000000;;12
36201;D101 hụi tháng 10triệu/12phần 5tây;2025-04-05;THANG;10000000;;12
36301;D102 hụi ngày 1triệu /35phần ;2025-04-12;NGAY;1000000;;35
36304;D105 hụi ngày 1triệu/35phần ;2025-04-12;NGAY;1000000;;35
36601;D106 hụi tuần 1triệu/18phần chủ nhật;2025-04-13;TUAN;1000000;;18
25852;Hụi tháng 3triệu/12phần 28tây 1️⃣;2024-10-28;THANG;3000000;;12
25853;Hụi tháng 2triệu/12phần 28tây 2️⃣;2024-10-28;THANG;2000000;;12
36901;D110 hụi tuần 2triệu/12phần thứ3;2025-04-15;TUAN;2000000;;12
37051;D111 hụi tuần 1triệu/15phần thứ5;2025-04-17;TUAN;1000000;;15
37054;D114 hụi tuần 1triệu/15phần thứ5;2025-04-17;TUAN;1000000;;15
37201;D108 hụi tuần 5triệu/13phần thứ2;2025-04-14;TUAN;5000000;;13
37203;D115 hụi ngày 300k/45phần ;2025-04-21;NGAY;300000;;45
37204;D116 hụi ngày 300k/45phần ;2025-04-21;NGAY;300000;;45
27051;Hụi tháng 5triệu/12phần 17tây;2024-11-17;THANG;5000000;;12
37501;D118 hụi tháng 3triệu-12phần 29tây;2025-04-29;THANG;3000000;;12
27501;Hụi tháng 3triệu/12phần 3tây;2024-12-03;THANG;3000000;;12
33101;D63 Hụi tháng 2triệu/12phần 13tây;2025-02-13;THANG;2000000;;12
33351;D65 Hụi tháng 10tr/12p 20tây (cố định);2025-02-20;THANG;10000000;;12
37503;D120 hụi tuần 1triệu/16phần thứ3;2025-05-06;TUAN;1000000;;16
33501;D67 Hụi tuần 3triệu/12phần thứ7;2025-03-01;TUAN;3000000;;12
37651;D122 hụi ngày 2triệu/30phần ;2025-04-30;NGAY;2000000;;30
37652;D123 hụi ngày 2triệu/30phần;2025-04-30;NGAY;2000000;;30
37653;D124 hụi ngày 2triệu/30phần;2025-04-30;NGAY;2000000;;30
28352;Hụi tháng 10triệu/13phần 15tây 2️⃣;2024-12-15;THANG;10000000;;13
33702;D71 Hụi tháng 5triệu/12phần 2tây;2025-03-02;THANG;5000000;;12
28701;Hụi 2tuần 3triệu 4&18tây dây 10;2024-12-18;NUA_THANG;3000000;;12
28851;Hụi tháng 2triệu/12phần 19tây (dây 11);2024-12-19;THANG;2000000;;12
29001;"Hụi tháng 5triệu/12phần 23tây ""dây 12""";2024-12-23;THANG;5000000;;12
